-6673,13319,70,-6,0.553131104
-6673,13319,70,-6,0.553131104
-6673,13305,27,-20,0.553131104
-6673,13305,27,-20,0.553131104
-6675,13279,-5,-45,0.553131104
-6675,13279,-5,-45,0.553131104
-6681,13187,-9,-132,0.553131104
-6681,13187,-9,-132,0.553131104
-6700,13037,-26,-281,0.553131104
-6700,13037,-26,-281,0.553131104
-6694,12838,-21,-474,0.553131104
-6694,12838,-21,-474,0.553131104
-6696,12579,-23,-716,0.553131104
-6696,12579,-23,-716,0.553131104
-6696,12236,-21,-1033,0.550153852
-6696,12236,-21,-1033,0.550153852
-6696,11784,-15,-1392,0.550153852
-6696,11784,-15,-1392,0.550153852
-6696,11214,4,-1808,0.550153852
-6696,11214,4,-1808,0.550153852
-6696,10530,-2,-2293,0.550153852
-6696,10530,-2,-2293,0.550153852
-6696,9761,0,-2804,0.550153852
-6696,9761,0,-2804,0.550153852
-6696,8894,0,-3323,0.550153852
-6696,8894,0,-3323,0.550153852
-6696,7915,0,-3852,0.550153852
-6696,7915,0,-3852,0.550153852
-6696,6820,0,-4376,0.550153852
-6696,6820,0,-4376,0.550153852
-6696,5637,0,-4876,0.550153852
-6696,5637,0,-4876,0.550153852
-6696,4355,0,-5388,0.550153852
-6696,4355,0,-5388,0.550153852
-6696,2967,0,-5911,0.537427187
-6696,2967,0,-5911,0.537427187
-6696,1493,0,-6409,0.537427187
-6696,1493,0,-6409,0.537427187
-6696,-92,0,-6896,0.537427187
-6696,-92,0,-6896,0.537427187
-6696,-1765,0,-7385,0.537427187
-6696,-1765,0,-7385,0.537427187
-6696,-3490,0,-7831,0.537427187
-6696,-3490,0,-7831,0.537427187
-6696,-5250,0,-8204,0.537427187
-6696,-5250,0,-8204,0.537427187
-6696,-7053,0,-8533,0.537427187
-6696,-7053,0,-8533,0.537427187
-6696,-8899,0,-8802,0.537427187
-6696,-8899,0,-8802,0.537427187
-6696,-10742,0,-8975,0.537427187
-6696,-10742,0,-8975,0.537427187
-6696,-12583,0,-9090,0.537427187
-6696,-12583,0,-9090,0.537427187
-6696,-14398,0,-9151,0.503330112
-6696,-14398,0,-9151,0.503330112
-6696,-16177,0,-9126,0.503330112
-6696,-16177,0,-9126,0.503330112
-6696,-17920,0,-9025,0.503330112
-6696,-17920,0,-9025,0.503330112
-6696,-19610,0,-8875,0.503330112
-6696,-19610,0,-8875,0.503330112
-6696,-21265,0,-8688,0.503330112
-6696,-21265,0,-8688,0.503330112
-6696,-22853,0,-8460,0.503330112
-6696,-22853,0,-8460,0.503330112
-6696,-24378,0,-8209,0.503330112
-6696,-24378,0,-8209,0.503330112
-6696,-25840,0,-7927,0.503330112
-6696,-25840,0,-7927,0.503330112
-6696,-27235,0,-7630,0.503330112
-6696,-27235,0,-7630,0.503330112
-6732,-28558,-33,-7306,0.503330112
-6732,-28558,-33,-7306,0.503330112
-6927,-29814,-222,-6970,0.439976335
-6927,-29814,-222,-6970,0.439976335
-7267,-31006,-558,-6640,0.439976335
-7267,-31006,-558,-6640,0.439976335
-7603,-32125,-896,-6298,0.439976335
-7603,-32125,-896,-6298,0.439976335
-7905,-33170,-1200,-5950,0.439976335
-7905,-33170,-1200,-5950,0.439976335
-8165,-34052,-1428,-5510,0.439976335
-8165,-34052,-1428,-5510,0.439976335
-8382,-34706,-1458,-4917,0.439976335
-8382,-34706,-1458,-4917,0.439976335
-8564,-35201,-1304,-4218,0.439976335
-8564,-35201,-1304,-4218,0.439976335
-8716,-35629,-1119,-3526,0.439976335
-8716,-35629,-1119,-3526,0.439976335
-8841,-35994,-941,-2845,0.439976335
-8841,-35994,-941,-2845,0.439976335
-8942,-36266,-782,-2231,0.439976335
-8942,-36266,-782,-2231,0.439976335
-9042,-36417,-662,-1724,0.352098584
-9042,-36417,-662,-1724,0.352098584
-9168,-36462,-606,-1275,0.352098584
-9168,-36462,-606,-1275,0.352098584
-9309,-36446,-593,-831,0.352098584
-9309,-36446,-593,-831,0.352098584
-9440,-36413,-599,-430,0.352098584
-9440,-36413,-599,-430,0.352098584
-9544,-36401,-602,-142,0.352098584
-9544,-36401,-602,-142,0.352098584
-9627,-36402,-586,11,0.352098584
-9627,-36402,-586,11,0.352098584
-9678,-36372,-514,88,0.352098584
-9678,-36372,-514,88,0.352098584
-9682,-36299,-378,145,0.352098584
-9682,-36299,-378,145,0.352098584
-9667,-36211,-231,201,0.352098584
-9667,-36211,-231,201,0.352098584
-9667,-36151,-126,248,0.352098584
-9667,-36151,-126,248,0.352098584
-9668,-36101,-44,300,0.304341197
-9668,-36101,-44,300,0.304341197
-9668,-36084,10,290,0.304341197
-9668,-36084,10,290,0.304341197
-9668,-36092,14,210,0.304341197
-9668,-36092,14,210,0.304341197
-9668,-36095,-1,118,0.304341197
-9668,-36095,-1,118,0.304341197
-9668,-36094,-1,59,0.304341197
-9668,-36094,-1,59,0.304341197
-9668,-36093,0,9,0.304341197
