proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos
-4488.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4488.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 2.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 1.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569805920124054
-4487.0, 11442.0, 0.0, 0.0, 0.569726824760437
-4487.0, 11442.0, 0.0, 0.0, 0.569726824760437
-4487.0, 11442.0, 0.0, 0.0, 0.569726824760437
-4489.0, 11436.0, -2.0, -5.0, 0.569726824760437
-4489.0, 11436.0, -2.0, -5.0, 0.569726824760437
-4489.0, 11436.0, -2.0, -5.0, 0.569726824760437
-4490.0, 11417.0, -3.0, -24.0, 0.569726824760437
-4490.0, 11417.0, -3.0, -24.0, 0.569726824760437
-4490.0, 11366.0, -3.0, -73.0, 0.569726824760437
-4490.0, 11366.0, -3.0, -73.0, 0.569726824760437
-4490.0, 11247.0, -3.0, -191.0, 0.569726824760437
-4490.0, 11247.0, -3.0, -191.0, 0.569726824760437
-4490.0, 11104.0, -3.0, -332.0, 0.569726824760437
-4490.0, 11104.0, -3.0, -332.0, 0.569726824760437
-4490.0, 10941.0, -1.0, -491.0, 0.569726824760437
-4490.0, 10941.0, -1.0, -491.0, 0.569726824760437
-4490.0, 10744.0, 0.0, -667.0, 0.569726824760437
